amazonaws.com-compute-optimizer-2019-11-01-openapi.yaml,6.0,6.0
amazonaws.com-config-2014-11-12-openapi.yaml,79.0,79.0
amazonaws.com-connect-2017-08-08-openapi.yaml,27.0,29.0
amazonaws.com-connectparticipant-2018-09-07-openapi.yaml,5.0,5.0
amazonaws.com-cur-2017-01-06-openapi.yaml,4.0,4.0
amazonaws.com-dataexchange-2017-07-25-openapi.yaml,10.0,22.0
amazonaws.com-datapipeline-2012-10-29-openapi.yaml,19.0,19.0
amazonaws.com-datasync-2018-11-09-openapi.yaml,29.0,29.0
amazonaws.com-dax-2017-04-19-openapi.yaml,21.0,21.0
amazonaws.com-detective-2018-10-26-openapi.yaml,12.0,12.0
amazonaws.com-devicefarm-2015-06-23-openapi.yaml,77.0,77.0
amazonaws.com-directconnect-2012-10-25-openapi.yaml,53.0,53.0
amazonaws.com-discovery-2015-11-01-openapi.yaml,25.0,25.0
amazonaws.com-dlm-2018-01-12-openapi.yaml,5.0,8.0
amazonaws.com-dms-2016-01-01-openapi.yaml,47.0,47.0
amazonaws.com-docdb-2014-10-31-openapi.yaml,42.0,84.0
amazonaws.com-ds-2015-04-16-openapi.yaml,57.0,57.0
amazonaws.com-dynamodb-2011-12-05-openapi.yaml,13.0,13.0
amazonaws.com-dynamodb-2012-08-10-openapi.yaml,41.0,41.0
amazonaws.com-ebs-2019-11-02-openapi.yaml,3.0,3.0
amazonaws.com-ec2-2016-11-15-openapi.yaml,403.0,806.0
amazonaws.com-ec2-instance-connect-2018-04-02-openapi.yaml,1.0,1.0
amazonaws.com-ecr-2015-09-21-openapi.yaml,29.0,29.0
amazonaws.com-ecs-2014-11-13-openapi.yaml,48.0,48.0
amazonaws.com-eks-2017-11-01-openapi.yaml,13.0,21.0
amazonaws.com-elastic-inference-2017-07-25-openapi.yaml,5.0,6.0
amazonaws.com-elasticache-2015-02-02-openapi.yaml,57.0,114.0
amazonaws.com-elasticbeanstalk-2010-12-01-openapi.yaml,45.0,90.0
amazonaws.com-elasticfilesystem-2015-02-01-openapi.yaml,14.0,23.0
amazonaws.com-elasticloadbalancing-2012-06-01-openapi.yaml,29.0,58.0
amazonaws.com-elasticloadbalancingv2-2015-12-01-openapi.yaml,34.0,68.0
amazonaws.com-elasticmapreduce-2009-03-31-openapi.yaml,33.0,33.0
amazonaws.com-elastictranscoder-2012-09-25-openapi.yaml,11.0,17.0
amazonaws.com-email-2010-12-01-openapi.yaml,71.0,142.0
amazonaws.com-entitlement.marketplace-2017-01-11-openapi.yaml,1.0,1.0
amazonaws.com-es-2015-01-01-openapi.yaml,28.0,30.0
amazonaws.com-eventbridge-2015-10-07-openapi.yaml,31.0,31.0
amazonaws.com-events-2015-10-07-openapi.yaml,31.0,31.0
amazonaws.com-firehose-2015-08-04-openapi.yaml,12.0,12.0
amazonaws.com-fms-2018-01-01-openapi.yaml,17.0,17.0
amazonaws.com-forecast-2018-06-26-openapi.yaml,26.0,26.0
amazonaws.com-forecastquery-2018-06-26-openapi.yaml,1.0,1.0
amazonaws.com-frauddetector-2019-11-15-openapi.yaml,32.0,32.0
amazonaws.com-fsx-2018-03-01-openapi.yaml,14.0,14.0
amazonaws.com-gamelift-2015-10-01-openapi.yaml,89.0,89.0
amazonaws.com-glacier-2012-06-01-openapi.yaml,18.0,33.0
amazonaws.com-globalaccelerator-2018-08-08-openapi.yaml,25.0,25.0
amazonaws.com-glue-2017-03-31-openapi.yaml,124.0,124.0
amazonaws.com-greengrass-2017-06-07-openapi.yaml,48.0,90.0
amazonaws.com-groundstation-2019-05-23-openapi.yaml,15.0,25.0
amazonaws.com-guardduty-2017-11-28-openapi.yaml,36.0,55.0
amazonaws.com-health-2016-08-04-openapi.yaml,13.0,13.0
amazonaws.com-iam-2010-05-08-openapi.yaml,140.0,280.0
amazonaws.com-imagebuilder-2019-12-02-openapi.yaml,41.0,42.0
amazonaws.com-importexport-2010-06-01-openapi.yaml,6.0,12.0
amazonaws.com-inspector-2016-02-16-openapi.yaml,37.0,37.0
amazonaws.com-iot-2015-05-28-openapi.yaml,128.0,207.0
amazonaws.com-iot-data-2015-05-28-openapi.yaml,2.0,4.0
